日期,類型,代號,名稱,評級,分數,產業,狀態,來源摘要,基準價,樣本代號,隔日漲跌%,3日最高漲幅%,5日最高漲幅%,是否達標,是否失敗,更新時間
2026-05-11,主動ETF,00980A,00980A,🟠 過熱不追,100.0,ETF,🟠 過熱不追,乖離偏高，只續抱不追價,23.94,,0.79,1.59,1.59,N,N,2026-05-12 13:53:56
2026-05-11,主動ETF,00983A,00983A,🟢 可分批,81.8,ETF,🟢 可分批,趨勢強，可小量分批，不追高,11.76,,0.85,1.19,1.19,N,N,2026-05-12 13:53:56
2026-05-11,主動ETF,00981A,00981A,🟠 過熱不追,81.2,ETF,🟠 過熱不追,乖離偏高，只續抱不追價,29.69,,0.94,2.49,2.49,N,N,2026-05-12 13:53:56
2026-05-11,特殊關注,6789,采鈺,特殊關注,107.7,半導體業,🔥 第一段 (主升起漲),🚀 穩步多頭,600.0,,-1.0,7.0,7.0,Y,N,2026-05-12 13:53:56
2026-05-11,特殊關注,1319,東陽,特殊關注,106.0,汽車工業,🔥 第一段 (主升起漲),🚀 穩步多頭,80.80000305175781,,-0.99,0.0,0.0,N,N,2026-05-12 13:53:56
2026-05-11,特殊關注,1477,聚陽,特殊關注,106.0,紡織纖維,🔥 第一段 (主升起漲),🚀 穩步多頭,218.0,,4.82,5.73,5.73,Y,N,2026-05-12 13:53:57
2026-05-11,產業輪動,IND半導體業,半導體業,🔥 主戰場,100.0,半導體業,🔥 主戰場,可信度 高｜樣本 34｜只做龍頭回測，不追第三根,,"3583,2388,3443,2303,3711,4968,3661,6789,6515,2401",1.53,5.14,5.14,Y,N,2026-05-12 13:53:58
2026-05-11,產業輪動,IND電子零組件業,電子零組件業,🔥 主戰場,97.0,電子零組件業,🔥 主戰場,可信度 高｜樣本 15｜只做龍頭回測，不追第三根,,"3044,2308,4958,2472,3026,2383,6781,3533,2327,3037",-0.03,4.47,4.47,Y,N,2026-05-12 13:53:59
2026-05-11,產業輪動,IND電腦及週邊設備業,電腦及週邊設備業,🔥 主戰場,87.0,電腦及週邊設備業,🔥 主戰場,可信度 中｜樣本 7｜只做龍頭回測，不追第三根,,"6669,2382,3706,2395,3017,2357,8210",0.88,3.2,3.2,Y,N,2026-05-12 13:54:00
2026-05-11,產業輪動,IND通信網路業,通信網路業,🟠 資金升溫,62.0,通信網路業,🟠 資金升溫,可信度 低｜樣本 3｜可找族群強股小倉試單,,"2498,2345,2412",0.03,2.47,2.47,N,N,2026-05-12 13:54:01
